passes_id,player_id,reciever_id,start_frame,end_frame,pass_grade
0,11,8,105,130,0.3
1,8,11,130,167,0.3
2,11,85,167,223,0.5
3,85,148,223,271,0.3
4,148,224,271,303,0.3
5,224,371,303,504,0.55
6,371,620,504,765,0.7
7,620,468,765,785,0.3
8,468,620,785,816,0.3
9,620,702,816,884,0.7
10,702,767,884,1026,0.7
11,767,729,1026,1141,0.5
12,729,1228,1141,1438,0.5
13,1228,1493,1438,1576,0.5
14,1493,1542,1576,1648,0.5
15,1542,1635,1648,1814,0.7
16,1635,1693,1814,1939,0.3
17,1693,1720,1939,1959,0.5
18,1720,2710,1959,2373,0.5
19,2710,2995,2373,2468,0.9
20,2995,3038,2468,2514,0.3
21,3038,3101,2514,2561,0.5
22,3101,3475,2561,2778,0.5
23,3475,3802,2778,3321,0.7
24,3802,3841,3321,3361,0.7
25,3841,4270,3361,3939,0.5
26,4270,4832,3939,4322,0.5
27,4832,4894,4322,4391,0.3
28,4894,4959,4391,4470,0.5
29,4959,5552,4470,4712,0.3
30,5552,5844,4712,4821,0.3
31,5844,5926,4821,4908,0.5
32,5926,5973,4908,4969,0.5
33,5973,6130,4969,5047,0.5
34,6130,6451,5047,5325,0.5
35,6451,6701,5325,5390,0.1
36,6701,7219,5390,5577,0.5
37,7219,8072,5577,6197,0.5
38,8072,8287,6197,6278,0.5
39,8287,8932,6278,6571,0.5
40,8932,9031,6571,6694,0.3
41,9031,8932,6694,6767,0.3
42,8932,8780,6767,6790,0.5
43,8780,8489,6790,6830, 0.3
44,8489,9313,6830,7087,0.5
45,9313,9134,7087,7125,0.5
46,9134,9558,7125,7556,0.3
47,9558,9621,7556,7663,0.5
48,9621,9726,7663,7808,0.7
49,9726,9710,7808,7832,0.5
50,9710,9786,7832,7875,0.7
51,9786,9621,7875,7928,0.5
52,9621,9789,7928,7946,0.5
53,9789,9938,7946,8098,0.3
54,9938,11280,8098,8426,0.5
55,11280,11361,8426,8527,0.3
56,11361,11607,8527,8583,0.7
57,11607,11942,8583,8726,0.9
58,11942,13595,8726,9990,0.3
59,13595,13911,9990,10174,0.5
60,13911,13856,10174,10242,0.5
61,13856,13903,10242,10316,0.5
62,13903,14069,10316,10432,0.5
63,14069,13856,10432,10640,0.7
64,13856,14601,10640,11023,0.5
65,14601,14626,11023,11070,0.5
66,14626,14634,11070,11124,0.5
67,14634,14763,11124,11319,0.5
68,14763,14852,11319,11385,0.5
69,14852,14736,11385,11402,0.5
70,14736,16884,11402,12807,0.8
71,16884,17218,12807,12942,0.5
72,17218,17669,12942,13170,0.5
73,17669,18249,13170,13410,0.5
74,18249,18323,13410,13449,0.5
75,18323,17944,13449,13502,0.7
76,17944,19270,13502,13944,0.8
77,19270,19622,13944,14167,0.5
78,19622,19581,14167,14180,0.3
79,19581,19766,14180,14388,0.3
80,19766,19092,14388,14518,0.5
81,19092,19877,14518,14565,0.5
82,19877,19805,14565,14591,0.5
83,19805,19877,14591,14727,0.5
84,19877,19472,14727,14748,0.3
85,19472,20268,14748,15076,0.7
86,20268,20431,15076,15181,0.3
87,20431,20278,15181,15204,0.5
88,20278,20575,15204,15240,0.5
89,20575,20702,15240,15317,0.5
90,20702,20566,15317,15354,0.5
91,20566,20914,15354,15801,0.5
92,20914,21111,15801,15826,0.5
93,21111,21124,15826,16009,0.3
94,21124,21298,16009,16051,0.3
95,21298,21362,16051,16086,0.3
96,21362,21463,16086,16296,0.9
97,21463,22064,16296,16660, 0.5
98,22064,22046,16660,16730, 0.3
99,22046,23209,16730,17618,0.7
100,23209,23735,17618,17874,0.3
101,23735,23826,17874,17982,0.7
102,23826,23978,17982,18107,0.5
103,23978,23922,18107,18204,0.3
104,23922,24099,18204,18288,0.5
105,24099,24068,18288,18364,0.5
106,24068,24215,18364,18445,0.5
107,24215,24530,18445,18749,0.5
108,24530,24657,18749,18891,0.7
109,24657,25062,18891,19057,0.3
110,25062,25025,19057,19110,0.5
